"X" "Y" "Z"
"500" 16.61133 26.603426 40.259312
"501" 16.422697 26.619354 40.151409
"502" 16.735119 25.88678 39.600861
"503" 16.463966 25.743452 38.662994
"504" 16.463966 25.99826 39.324192
"505" 16.369644 25.982338 39.221851
"506" 16.186911 25.472721 38.306118
"507" 16.375542 25.846968 38.582756
"508" 16.481644 25.767347 37.94368
"509" 16.758699 26.205294 38.599354
"510" 16.864799 26.308809 39.221851
"511" 17.00038 26.874161 40.239941
"512" 16.422697 26.667126 39.849861
"513" 16.870701 26.874161 40.748993
"514" 16.970907 27.017481 40.583
"515" 17.401226 27.431553 40.621719
"516" 17.247963 27.288218 41.100342
"517" 17.348173 27.280258 40.638325
"518" 17.613436 27.76598 41.399147
"519" 17.872801 28.124306 42.588776
"520" 17.796165 28.180046 42.98439
"521" 17.5368 28.466698 43.565376
"522" 17.37175 28.140232 42.93182
"523" 17.471958 28.195971 42.483639
"524" 17.171331 27.973015 41.852879
"525" 17.253855 27.423584 41.371479
"526" 17.171331 27.845606 42.065891
"527" 17.100594 27.614693 41.092049
"528" 17.253855 27.877459 41.531937
"529" 17.00038 27.797836 41.706226
"530" 16.61133 27.391741 41.114185
"531" 16.546484 27.192669 40.480629
"532" 16.858908 27.781902 42.212509
"533" 16.517019 27.598766 41.891594
"534" 16.328386 27.566919 42.724346
"535" 16.104385 27.041374 41.598335
"536" 15.962914 27.248411 41.930328
"537" 15.709438 26.850271 41.177818
"538" 15.968806 27.049339 41.507038
"539" 15.833228 27.495253 41.794781
"540" 16.110279 27.877459 42.558331
"541" 16.063122 27.853575 42.751991
"542" 16.145651 27.383772 41.761566
"543" 15.697647 26.921934 41.412968
"544" 15.756595 27.121 42.793636
"545" 15.768388 26.754717 41.988659
"546" 15.88628 26.73634 41.661133
"547" 15.644597 26.448689 41.541775
"548" 15.856807 26.560551 41.94981
"549" 15.603335 26.496626 42.535488
"550" 15.31449 26.560551 42.790844
"551" 15.072806 25.993219 41.15316
"552" 15.061017 25.809435 40.772888
"553" 14.925442 25.425896 39.804153
"554" 15.013863 25.521778 39.187931
"555" 14.807548 25.298042 38.446812
"556" 15.072806 25.593693 39.687572
"557" 14.890073 25.465847 39.718121
"558" 15.002071 25.601686 40.198311
"559" 14.719123 24.89852 38.616142
"560" 15.102283 25.298042 37.930527
"561" 15.131756 25.138229 37.0756
"562" 15.025653 25.266081 37.430897
"563" 15.455963 25.673599 38.491226
"564" 15.455963 25.457861 37.400356
"565" 15.597441 25.186174 35.868149
"566" 15.255541 24.419083 35.48233
"567" 15.149439 24.658804 35.840397
"568" 14.595337 24.403103 35.815418
"569" 14.725018 24.483011 35.39904
"570" 14.837018 25.194166 37.256027
"571" 14.66607 25.050339 36.12352
"572" 14.259337 24.610861 36.015259
"573" 14.123754 23.811802 34.058361
"574" 14.247544 23.891712 34.041706
"575" 14.365441 24.171379 35.040981
"576" 14.117862 23.835775 34.458084
"577" 14.135545 23.452232 33.89183
"578" 14.082492 23.308397 33.625351
"579" 13.917444 23.244476 33.650337
"580" 13.758283 23.612043 34.941071
"581" 13.669864 23.644007 34.42477
"582" 13.593232 23.268444 33.700302
"583" 13.575552 23.148588 33.392189
"584" 13.410496 23.148588 34.29985
"585" 13.717022 23.667974 35.407379
"586" 13.722913 24.371141 36.389996
"587" 13.740599 24.163382 35.682178
"588" 13.546074 23.779839 35.215855
"589" 13.581441 23.827785 35.765453
"590" 13.758283 24.299227 36.373341
"591" 14.123754 24.562912 36.048576
"592" 14.041229 24.275255 35.690506
"593" 13.699337 23.412275 33.783566
"594" 13.55197 23.244476 33.433834
"595" 12.773868 22.469395 32.61776
"596" 12.726705 22.645184 32.667725
"597" 13.198287 22.357525 32.068169
"598" 12.420179 21.334738 29.778168
"599" 12.64418 21.926039 30.869041
"600" 12.520393 22.261641 31.343685
